"Order_ID","order_date","delivery_date","order_type","Customer_Name","profit","product_line","product_name","product_group","product_category"
"  1230058123","       21925","       21925","Retail","James Klisurich","        9.05","Clothes & Shoes","Toncot Beefy-T Emb T","T-Shirts","Clothes"
"  1230080101","       21929","       21933","Catalog","Sandrina Stephano","      137.95","Outdoors","Trekking Tent","Outdoor Gear","Outdoors"
"  1230106883","       21934","       21936","Catalog","Dianne Patchin","       19.75","Sports","Sharky Swimming Trun","Bathing Suits","Swim Sports"
"  1230147441","       21942","       21942","Retail","Wendell Summersby","          19","Sports","Goggles, Assorted Co","Bathing Suits","Swim Sports"
"  1230315085","       21972","       21972","Retail","Duncan Robertshawe","        37.2","Sports","Eagle Plain Cap","Golf Clothes","Golf"
"  1230333319","       21976","       21977","Catalog","Najma Hicks","      118.65","Sports","Cool Fit Men's Rolle","Skates","Assorted Sports Arti"
"  1230338566","       21977","       21982","Catalog","Tulio D\u00e9vereaux","       19.25","Sports","Top Equipe 07 Green","Winter Sports","Winter Sports"
"  1230371142","       21983","       21985","Catalog","Dianne Patchin","          71","Sports","Pants N","Jogging","Running - Jogging"
"  1230404278","       21989","       21989","Retail","Roy Siferd","        40.9","Clothes & Shoes","Pytossage Bathing Sa","Tracker Shoes","Shoes"
"  1230440481","       21996","       21996","Retail","Duncan Robertshawe","        66.6","Outdoors","Basic 10, Left , Yel","Sleepingbags","Outdoors"
"  1230453723","       21998","       21999","Catalog","Najma Hicks","       12.55","Sports","Breath-brief Long Un","Running Clothes","Running - Jogging"
"  1230455630","       21999","       21999","Retail","Duncan Robertshawe","        46.9","Sports","Tee18 Troon 7  Black","Golf","Golf"
"  1230498538","       22006","       22006","Retail","Michael Dineley","       34.15","Outdoors","Gloves Le Fly Mitten","Gloves & Mittens","Outdoors"
"  1230591673","       22023","       22028","Catalog","Tulio D\u00e9vereaux","       81.75","Clothes & Shoes","Pro Fit Gel Gt 2030","Shoes","Shoes"
"  1230591675","       22023","       22025","Internet","Phenix Hill","        19.1","Sports","Sweatshirt Women's S","Jogging","Running - Jogging"
"  1230591684","       22023","       22023","Retail","Najma Hicks","       809.8","Sports","Expert Men's Firesol","Golf","Golf"
"  1230657844","       22036","       22039","Internet","Robert Bowerman","        63.1","Sports","Lyon Men's Jacket","Assorted Sports arti","Assorted Sports Arti"
"  1230700421","       22043","       22044","Catalog","Najma Hicks","      101.45","Outdoors","Jacket Nome","Anoraks & Parkas","Outdoors"
"  1230745294","       22051","       22051","Retail","Viola Folsom","       67.15","Clothes & Shoes","Woman's Air Converge","Eclipse Shoes","Shoes"
"  1230754828","       22053","       22053","Retail","David Black","        33.9","Clothes & Shoes","Big Guy Men's T-Shir","Eclipse Clothing","Clothes"
"  1230778996","       22058","       22058","Retail","Karolina Dokter","       18.25","Outdoors","Rain Jacket","Outdoor Gear","Outdoors"
"  1230793366","       22060","       22063","Catalog","Attila Gibbs","       877.8","Sports","Smasher Tg 70 Tennis","Racket Sports","Racket Sports"
"  1230804171","       22062","       22067","Catalog","Tulio D\u00e9vereaux","       86.55","Sports","Force Classic Men's","Running Clothes","Running - Jogging"
"  1230825762","       22066","       22066","Retail","Viola Folsom","       153.9","Outdoors","Mayday W'S Sports Pu","Outdoor Gear","Outdoors"
"  1230841456","       22069","       22074","Catalog","Tulio D\u00e9vereaux","        60.9","Sports","Prosoccer Away Shirt","Soccer","Team Sports"
"  1230841466","       22069","       22069","Retail","Mikel Spetz","        61.5","Sports","Ypsilon Men's Sweats","Jogging","Running - Jogging"
"  1230885738","       22077","       22077","Retail","Roy Siferd","        18.1","Clothes & Shoes","Toncot Beefy-T Emb T","T-Shirts","Clothes"
"  1231002241","       22099","       22102","Internet","Robert Bowerman","       29.65","Clothes & Shoes","Tyfoon Oliver Sweats","Street Wear","Clothes"
"  1231023774","       22103","       22103","Retail","Ramesh Trentholme","       12.05","Outdoors","Small Belt Bag, Blac","Outdoor Gear","Outdoors"
"  1231071449","       22111","       22113","Internet","Phenix Hill","       140.9","Sports","Grandslam Ultra Powe","Racket Sports","Racket Sports"
"  1231077006","       22112","       22112","Retail","David Black","       113.8","Outdoors","Men's Sports Pullove","Outdoor Gear","Outdoors"
"  1231135703","       22123","       22123","Retail","Najma Hicks","        59.9","Children","Kid Basic Tracking S","Osprey, Kids","Children Sports"
"  1231169108","       22129","       22129","Retail","Cynthia Mart\u00ednez","      110.25","Clothes & Shoes","Hardcore Men's Stree","Tracker Shoes","Shoes"
"  1231176288","       22131","       22131","Retail","Ramesh Trentholme","        23.7","Sports","Original Running Pan","Running Clothes","Running - Jogging"
"  1231188317","       22133","       22135","Catalog","Karolina Dokter","       18.45","Clothes & Shoes","Osprey Men's King T-","Osprey","Clothes"
"  1231204878","       22135","       22135","Retail","Viola Folsom","        55.5","Outdoors","Expedition Zero,Smal","Sleepingbags","Outdoors"
"  1231206746","       22136","       22136","Retail","Ramesh Trentholme","          14","Sports","Tee18 Ascot Chipper","Golf","Golf"
"  1231231220","       22140","       22140","Retail","Michael Dineley","          79","Clothes & Shoes","Sherpa Pes Shiny Cot","Tracker Clothes","Clothes"
"  1231259703","       22145","       22145","Retail","Dianne Patchin","       204.9","Sports","Bretagne Stabilites","Golf","Golf"
"  1231270767","       22147","       22153","Internet","Yan Kozlowski","        83.9","Outdoors","Expedition10,Medium,","Sleepingbags","Outdoors"
"  1231292064","       22151","       22151","Retail","David Black","        52.2","Clothes & Shoes","2bwet 3 Cb Swimming","Tracker Clothes","Clothes"
"  1231314893","       22155","       22155","Retail","Michael Dineley","        19.3","Sports","Bat - Large","Baseball","Team Sports"
"  1231341359","       22160","       22160","Retail","Viola Folsom","        72.3","Clothes & Shoes","Lulu Men's Street Sh","Shoes","Shoes"
"  1231392762","       22169","       22171","Internet","Phenix Hill","        73.2","Outdoors","Expedition 10,Small,","Sleepingbags","Outdoors"
"  1231414059","       22173","       22175","Internet","Phenix Hill","       90.15","Sports","Twain X-Scream 7.9 S","Winter Sports","Winter Sports"
"  1231468750","       22183","       22188","Retail","Yan Kozlowski","        24.9","Clothes & Shoes","Big Guy Men's Fresh","Eclipse Clothing","Clothes"
"  1231501254","       22189","       22189","Retail","Attila Gibbs","        55.6","Clothes & Shoes","Trooper Ii Dmx-2x Me","Orion","Clothes"
"  1231522431","       22193","       22199","Internet","Yan Kozlowski","        20.9","Sports","Grey","Assorted Sports arti","Assorted Sports Arti"
"  1231657078","       22217","       22221","Retail","James Klisurich","       45.85","Clothes & Shoes","South Peak Men's Run","Tracker Shoes","Shoes"
"  1231663230","       22218","       22218","Retail","Sandrina Stephano","        1.85","Sports","Shoelace White 150 C","Assorted Sports arti","Assorted Sports Arti"
"  1231757107","       22235","       22235","Retail","Jimmie Evans","       41.95","Clothes & Shoes","Woman's Micro Fibre","Eclipse Clothing","Clothes"
"  1231780610","       22239","       22239","Retail","Viola Folsom","         110","Sports","Proskater Kitalpha G","Skates","Assorted Sports Arti"
"  1231858937","       22253","       22253","Retail","Dianne Patchin","        71.3","Clothes & Shoes","Hilly Women's Crosst","Tracker Shoes","Shoes"
"  1231891098","       22259","       22259","Retail","Viola Folsom","        35.6","Clothes & Shoes","Casual Genuine Tee","Tracker Clothes","Clothes"
"  1231896710","       22260","       22260","Retail","Attila Gibbs","       54.75","Outdoors","Mayday Qd Zip Pants","Outdoor Gear","Outdoors"
"  1231898348","       22261","       22261","Retail","Duncan Robertshawe","       131.2","Clothes & Shoes","Quali Sweatpant","Tracker Clothes","Clothes"
"  1231908237","       22263","       22263","Retail","Ramesh Trentholme","       117.4","Sports","Proplay Men's Tour F","Golf","Golf"
"  1231928627","       22266","       22266","Retail","Jimmie Evans","       47.95","Sports","Pro-roll Sabotage-Rp","Skates","Assorted Sports Arti"
"  1231936241","       22268","       22268","Retail","Karolina Dokter","        12.2","Clothes & Shoes","Men's Cap","Tracker Clothes","Clothes"
"  1231950921","       22270","       22272","Catalog","Sandrina Stephano","       153.9","Outdoors","Mayday W'S Sports Pu","Outdoor Gear","Outdoors"
"  1231952752","       22271","       22273","Catalog","Karolina Dokter","        52.7","Clothes & Shoes","Big Guy Men's Twill","Eclipse Clothing","Clothes"
"  1231956902","       22271","       22271","Retail","Sandrina Stephano","        74.4","Clothes & Shoes","Pine Sweat with Hood","Tracker Clothes","Clothes"
"  1231982684","       22276","       22276","Retail","Duncan Robertshawe","       64.05","Sports","Smasher Polo-Shirt w","Tennis","Racket Sports"
"  1231986335","       22277","       22277","Retail","Cosi Rimmington","        21.2","Outdoors","Dome Tent Monodome A","Outdoor Gear","Outdoors"
"  1232007693","       22280","       22284","Catalog","Sandrina Stephano","      178.85","Sports","Perfect Fit Men's Ro","Skates","Assorted Sports Arti"
"  1232007700","       22280","       22280","Retail","Dianne Patchin","       142.4","Outdoors","Duwall Pants","Anoraks & Parkas","Outdoors"
"  1232087464","       22293","       22293","Retail","Dericka Pockran","       167.8","Outdoors","Expedition10,Medium,","Sleepingbags","Outdoors"
"  1232092527","       22293","       22293","Retail","Annmarie Leveille","         3.9","Clothes & Shoes","Green Lime Atletic S","Green Tomato","Clothes"
"  1232161564","       22303","       22303","Retail","Alvan Goheen","       50.55","Clothes & Shoes","Big Guy Men's Mid La","Eclipse Clothing","Clothes"
"  1232217725","       22312","       22315","Catalog","Wynella Lewis","       161.4","Outdoors","Topper Pants","Anoraks & Parkas","Outdoors"
