"Order_ID","Customer_Name","order_date","total_retail_price","product_id","product_category"
"  1230080101","Sandrina Stephano","JAN2020","   $247.50","230100500026","Outdoors"
"  1230315085","Duncan Robertshawe","FEB2020","    $63.60","240200200039","Golf"
"  1230404278","Roy Siferd","MAR2020","    $75.00","220200300002","Shoes"
"  1230440481","Duncan Robertshawe","MAR2020","   $129.80","230100600005","Outdoors"
"  1230450371","Ulrich Heyde","MAR2020","   $128.40","230100600018","Outdoors"
"  1230455630","Duncan Robertshawe","MAR2020","    $91.80","240200100233","Golf"
"  1230478006","Serdar Yucel","MAR2020","    $60.60","230100100025","Outdoors"
"  1230498538","Michael Dineley","APR2020","    $68.50","230100300006","Outdoors"
"  1230500669","Tommy Mcdonald","APR2020","   $148.60","240200100131","Golf"
"  1230591673","Tulio D\u00e9vereaux","APR2020","   $178.50","220200200024","Shoes"
"  1230591684","Najma Hicks","APR2020"," $1,796.00","240200100076","Golf"
"  1230619748","Carsten Maestrini","APR2020","    $83.00","220200100092","Shoes"
"  1230642273","Markus Sepke","APR2020","   $126.10","230100500082","Outdoors"
"  1230690733","Bill Cuddy","MAY2020","   $282.40","240200100043","Golf"
"  1230700421","Najma Hicks","MAY2020","   $176.00","230100100006","Outdoors"
"  1230738723","Bulent Urfalioglu","MAY2020","   $237.20","230100600026","Outdoors"
"  1230745294","Viola Folsom","MAY2020","   $134.50","220200100179","Shoes"
"  1230771337","Avni Argac","MAY2020","   $221.70","230100500012","Outdoors"
"  1230778996","Karolina Dokter","MAY2020","    $35.50","230100500096","Outdoors"
"  1230825762","Viola Folsom","MAY2020","   $265.60","230100500093","Outdoors"
"  1230931366","Susan Krasowski","JUN2020","   $166.80","240200200007","Golf"
"  1231008713","Patrick Leach","JUL2020","    $42.40","240200200039","Golf"
"  1231023774","Ramesh Trentholme","JUL2020","    $22.90","230100500024","Outdoors"
"  1231035308","Markus Sepke","JUL2020","   $146.80","230100600023","Outdoors"
"  1231077006","David Black","JUL2020","   $193.80","230100500095","Outdoors"
"  1231094514","Carsten Maestrini","JUL2020","   $544.00","230100500074","Outdoors"
"  1231169108","Cynthia Mart\u00ednez","AUG2020","   $220.20","220200300157","Shoes"
"  1231204878","Viola Folsom","AUG2020","   $111.40","230100600017","Outdoors"
"  1231206746","Ramesh Trentholme","AUG2020","    $28.20","240200100232","Golf"
"  1231227910","Soberina Berent","AUG2020"," $1,266.00","240200200013","Golf"
"  1231259703","Dianne Patchin","AUG2020","   $420.90","240200100051","Golf"
"  1231270767","Yan Kozlowski","AUG2020","   $168.20","230100600022","Outdoors"
"  1231305521","Ulrich Heyde","AUG2020","   $125.20","220200100035","Shoes"
"  1231305531","Ulrich Heyde","AUG2020","   $177.20","220200100090","Shoes"
"  1231317443","Carsten Maestrini","AUG2020","   $440.00","230100700002","Outdoors"
"  1231341359","Viola Folsom","SEP2020","   $132.80","220200200018","Shoes"
"  1231392762","Phenix Hill","SEP2020","   $146.80","230100600023","Outdoors"
"  1231453831","Tommy Mcdonald","SEP2020","    $99.70","240200100052","Golf"
"  1231619928","Carsten Maestrini","OCT2020","   $103.20","230100600036","Outdoors"
"  1231653765","Elke Wallstab","OCT2020","    $72.70","230100200047","Outdoors"
"  1231657078","James Klisurich","OCT2020","    $84.20","220200300116","Shoes"
"  1231734609","Avni Argac","NOV2020","   $191.00","230100500091","Outdoors"
"  1231734615","Selim Okay","NOV2020","   $129.80","230100600005","Outdoors"
"  1231858937","Dianne Patchin","DEC2020","   $128.60","220200300079","Shoes"
"  1231861295","Soberina Berent","DEC2020","    $53.20","240200100154","Golf"
"  1231896710","Attila Gibbs","DEC2020","    $93.80","230100500087","Outdoors"
"  1231908237","Ramesh Trentholme","DEC2020","   $243.20","240200100180","Golf"
"  1231950921","Sandrina Stephano","DEC2020","   $265.60","230100500093","Outdoors"
"  1231953192","Alex Santinello","DEC2020","   $199.40","240200100052","Golf"
"  1231986335","Cosi Rimmington","DEC2020","    $38.00","230100500008","Outdoors"
"  1232003930","Tommy Mcdonald","DEC2020","    $49.00","240200100124","Golf"
"  1232007700","Dianne Patchin","DEC2020","   $249.60","230100100045","Outdoors"
"  1232087464","Dericka Pockran","JAN2021","   $336.40","230100600022","Outdoors"
"  1232217725","Wynella Lewis","FEB2021","   $283.40","230100100062","Outdoors"
"  1232240447","Cosi Rimmington","FEB2021","    $77.60","230100200059","Outdoors"
"  1232241009","Tommy Mcdonald","FEB2021","    $22.20","240200200039","Golf"
"  1232307056","Robert Bowerman","FEB2021","   $146.00","230100500081","Outdoors"
"  1232331499","Tulio D\u00e9vereaux","FEB2021","   $369.80","230100100051","Outdoors"
"  1232373481","Markus Sepke","FEB2021","   $165.50","220200100229","Shoes"
"  1232517885","Angel Borwick","MAR2021","   $183.90","240200100226","Golf"
"  1232554759","Lendon Celii","MAR2021","    $84.10","230100600022","Outdoors"
"  1232601472","Wynella Lewis","MAR2021","   $173.20","230100500094","Outdoors"
"  1232618023","Lauren Marx","APR2021","    $95.70","240200100183","Golf"
"  1232672914","Bill Cuddy","APR2021","    $38.80","240200100101","Golf"
"  1232698281","Cornelia Krahl","APR2021","    $29.40","230100600035","Outdoors"
"  1232777080","Ramesh Trentholme","APR2021","    $73.90","230100500012","Outdoors"
"  1232790793","Cosi Rimmington","APR2021","    $50.10","230100200074","Outdoors"
"  1232857157","Dianne Patchin","MAY2021","   $172.60","230100600030","Outdoors"
"  1232889267","Avni Umran","MAY2021","   $407.40","230100200054","Outdoors"
"  1232936635","Avni Argac","MAY2021","   $172.60","230100600030","Outdoors"
"  1232956741","Yan Kozlowski","MAY2021","    $76.00","230100500008","Outdoors"
"  1232972274","Robert Bowerman","MAY2021","   $135.80","230100200054","Outdoors"
"  1233066745","Ramesh Trentholme","JUN2021","    $84.10","230100600022","Outdoors"
"  1233078086","Annmarie Leveille","JUN2021","   $200.20","220200200071","Shoes"
"  1233167161","Soberina Berent","JUN2021","   $237.00","240200100095","Golf"
"  1233514453","Angel Borwick","AUG2021","   $553.50","240200200060","Golf"
"  1233545775","Wendell Summersby","AUG2021","    $49.40","240200100007","Golf"
"  1233545781","Ramesh Trentholme","AUG2021","     $6.20","230100500020","Outdoors"
"  1233837302","Cosi Rimmington","OCT2021","   $990.00","230100500026","Outdoors"
"  1233913196","Avni Argac","OCT2021","    $29.30","230100400012","Outdoors"
"  1233920805","Yan Kozlowski","OCT2021","     $8.00","230100500056","Outdoors"
"  1234092222","Mikel Spetz","NOV2021","     $7.20","230100500023","Outdoors"
"  1234235150","Lauren Marx","DEC2021","   $369.00","240200200060","Golf"
"  1234279341","Tulio D\u00e9vereaux","DEC2021","   $116.70","230100500092","Outdoors"
"  1234323012","Alex Santinello","DEC2021","    $29.20","240200100098","Golf"
"  1234348668","James Kvarniq","DEC2021","    $92.60","230100100053","Outdoors"
"  1234360543","Jimmie Evans","DEC2021","   $110.20","230100100033","Outdoors"
"  1234373539","David Black","DEC2021","   $226.20","230100100013","Outdoors"
"  1234437760","Cosi Rimmington","JAN2022","   $193.40","230100600028","Outdoors"
"  1234538390","Ulrich Heyde","JAN2022","   $115.00","220200300015","Shoes"
"  1234588648","Ulrich Heyde","JAN2022","   $138.70","230100500101","Outdoors"
